competencia,fator,arquivo_origem
2009-03-01,1.913381,01_2021_art_33_normal_gab-1.xlsx
2009-04-01,1.909561,01_2021_art_33_normal_gab-1.xlsx
2009-05-01,1.899121,01_2021_art_33_normal_gab-1.xlsx
2009-06-01,1.887792,01_2021_art_33_normal_gab-1.xlsx
2009-07-01,1.879891,01_2021_art_33_normal_gab-1.xlsx
2009-08-01,1.87558,01_2021_art_33_normal_gab-1.xlsx
2009-09-01,1.874081,01_2021_art_33_normal_gab-1.xlsx
2009-10-01,1.871087,01_2021_art_33_normal_gab-1.xlsx
2009-11-01,1.866608,01_2021_art_33_normal_gab-1.xlsx
2009-12-01,1.859725,01_2021_art_33_normal_gab-1.xlsx
2010-01-01,1.855269,01_2021_art_33_normal_gab-1.xlsx
2010-02-01,1.839089,01_2021_art_33_normal_gab-1.xlsx
2010-03-01,1.826303,01_2021_art_33_normal_gab-1.xlsx
2010-04-01,1.813431,01_2021_art_33_normal_gab-1.xlsx
2010-05-01,1.800286,01_2021_art_33_normal_gab-1.xlsx
2010-06-01,1.792581,01_2021_art_33_normal_gab-1.xlsx
2010-07-01,1.794554,01_2021_art_33_normal_gab-1.xlsx
2010-08-01,1.795812,01_2021_art_33_normal_gab-1.xlsx
2010-09-01,1.79707,01_2021_art_33_normal_gab-1.xlsx
2010-10-01,1.78742,01_2021_art_33_normal_gab-1.xlsx
2010-11-01,1.77112,01_2021_art_33_normal_gab-1.xlsx
2010-12-01,1.753064,01_2021_art_33_normal_gab-1.xlsx
2011-01-01,1.742611,01_2021_art_33_normal_gab-1.xlsx
2011-02-01,1.726382,01_2021_art_33_normal_gab-1.xlsx
2011-03-01,1.717112,01_2021_art_33_normal_gab-1.xlsx
2011-04-01,1.705851,01_2021_art_33_normal_gab-1.xlsx
2011-05-01,1.693655,01_2021_art_33_normal_gab-1.xlsx
2011-06-01,1.684054,01_2021_art_33_normal_gab-1.xlsx
2011-07-01,1.68036,01_2021_art_33_normal_gab-1.xlsx
2011-08-01,1.68036,01_2021_art_33_normal_gab-1.xlsx
2011-09-01,1.67333,01_2021_art_33_normal_gab-1.xlsx
2011-10-01,1.665836,01_2021_art_33_normal_gab-1.xlsx
2011-11-01,1.660524,01_2021_art_33_normal_gab-1.xlsx
2011-12-01,1.651109,01_2021_art_33_normal_gab-1.xlsx
2012-01-01,1.642736,01_2021_art_33_normal_gab-1.xlsx
2012-02-01,1.6344,01_2021_art_33_normal_gab-1.xlsx
2012-03-01,1.62805,01_2021_art_33_normal_gab-1.xlsx
2012-04-01,1.62512,01_2021_art_33_normal_gab-1.xlsx
2012-05-01,1.614791,01_2021_art_33_normal_gab-1.xlsx
2012-06-01,1.60596,01_2021_art_33_normal_gab-1.xlsx
2012-07-01,1.601792,01_2021_art_33_normal_gab-1.xlsx
2012-08-01,1.594935,01_2021_art_33_normal_gab-1.xlsx
2012-09-01,1.587789,01_2021_art_33_normal_gab-1.xlsx
2012-10-01,1.57785,01_2021_art_33_normal_gab-1.xlsx
2012-11-01,1.566725,01_2021_art_33_normal_gab-1.xlsx
2012-12-01,1.558311,01_2021_art_33_normal_gab-1.xlsx
2013-01-01,1.546861,01_2021_art_33_normal_gab-1.xlsx
2013-02-01,1.532762,01_2021_art_33_normal_gab-1.xlsx
2013-03-01,1.524834,01_2021_art_33_normal_gab-1.xlsx
2013-04-01,1.515737,01_2021_art_33_normal_gab-1.xlsx
2013-05-01,1.506846,01_2021_art_33_normal_gab-1.xlsx
2013-06-01,1.50159,01_2021_art_33_normal_gab-1.xlsx
2013-07-01,1.4974,01_2021_art_33_normal_gab-1.xlsx
2013-08-01,1.499348,01_2021_art_33_normal_gab-1.xlsx
2013-09-01,1.496953,01_2021_art_33_normal_gab-1.xlsx
2013-10-01,1.492922,01_2021_art_33_normal_gab-1.xlsx
2013-11-01,1.483873,01_2021_art_33_normal_gab-1.xlsx
2013-12-01,1.4759,01_2021_art_33_normal_gab-1.xlsx
2014-01-01,1.465349,01_2021_art_33_normal_gab-1.xlsx
2014-02-01,1.456177,01_2021_art_33_normal_gab-1.xlsx
2014-03-01,1.446916,01_2021_art_33_normal_gab-1.xlsx
2014-04-01,1.435149,01_2021_art_33_normal_gab-1.xlsx
2014-05-01,1.424038,01_2021_art_33_normal_gab-1.xlsx
2014-06-01,1.415543,01_2021_art_33_normal_gab-1.xlsx
2014-07-01,1.411874,01_2021_art_33_normal_gab-1.xlsx
2014-08-01,1.410042,01_2021_art_33_normal_gab-1.xlsx
2014-09-01,1.407507,01_2021_art_33_normal_gab-1.xlsx
2014-10-01,1.400646,01_2021_art_33_normal_gab-1.xlsx
2014-11-01,1.395345,01_2021_art_33_normal_gab-1.xlsx
2014-12-01,1.387986,01_2021_art_33_normal_gab-1.xlsx
2015-01-01,1.379433,01_2021_art_33_normal_gab-1.xlsx
2015-02-01,1.359316,01_2021_art_33_normal_gab-1.xlsx
2015-03-01,1.343728,01_2021_art_33_normal_gab-1.xlsx
2015-04-01,1.323741,01_2021_art_33_normal_gab-1.xlsx
2015-05-01,1.314409,01_2021_art_33_normal_gab-1.xlsx
2015-06-01,1.301526,01_2021_art_33_normal_gab-1.xlsx
2015-07-01,1.291579,01_2021_art_33_normal_gab-1.xlsx
2015-08-01,1.284133,01_2021_art_33_normal_gab-1.xlsx
2015-09-01,1.280925,01_2021_art_33_normal_gab-1.xlsx
2015-10-01,1.274429,01_2021_art_33_normal_gab-1.xlsx
2015-11-01,1.264692,01_2021_art_33_normal_gab-1.xlsx
2015-12-01,1.250804,01_2021_art_33_normal_gab-1.xlsx
2016-01-01,1.23965,01_2021_art_33_normal_gab-1.xlsx
2016-02-01,1.221211,01_2021_art_33_normal_gab-1.xlsx
2016-03-01,1.209716,01_2021_art_33_normal_gab-1.xlsx
2016-04-01,1.204418,01_2021_art_33_normal_gab-1.xlsx
2016-05-01,1.196758,01_2021_art_33_normal_gab-1.xlsx
2016-06-01,1.185145,01_2021_art_33_normal_gab-1.xlsx
